es_ID;Study_no;author;title;date;research_group;source;species_latin;species_eng;geographic_location;model_species_0_wild_1_lab;tip_label;sex;age;pollution_type;measured_part_oryginal;measured_part;colour_type;HSB;UV_VIS_UV_VIS_other;method;carotenoids;colour_comment;study_type;raw_or_model;n;ES_physic;ES_biol
19;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;200;-0.130609271;-0.130609271
20;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;200;-0.009408178;-0.009408178
22;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;624;-0.36442842;-0.36442842
25;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;613;0.059767356;0.059767356
27;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.088993461;-0.088993461
28;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.140675148;-0.140675148
29;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.361057186;-0.361057186
30;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.039678939;-0.039678939
31;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;-0.012408486;0.012408486
32;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.009306678;-0.009306678
35;6;Beck, ML;Urbanization alters the relationship between coloration and territorial aggression, but not hormones, in song sparrows;2018;Sewall Lab;Web of Science;Melospiza melodia;song sparrow;Virginia, USA;0;Melospiza_melodia;M;AD;urbanisation;feathers (badge);feathers;melanin-based;brightness;UV-VIS;spectro;NA;;O;raw;70;-0.178494795;0.178494795
41;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""; difference between reflectance at 700 nm and reflectance at 450 nm, relative to reflectance at 700nm";O;model;57;-0.1;-0.1
42;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""; difference between reflectance at 700 nm and reflectance at 450 nm, relative to reflectance at 700nm";O;model;57;0.11;0.11
51;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.13346;-0.13346
52;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.86505;-0.86505
53;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.15518;-0.15518
54;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.09161;-0.09161
55;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.11256;-0.11256
56;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.14145;-0.14145
57;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;0.207586;0.207586
58;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;0.011454;0.011454
59;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.23521;-0.23521
60;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.27589;-0.27589
61;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.29692;-0.29692
62;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.12019;-0.12019
63;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.32047;-0.32047
64;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.38387;-0.38387
65;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;0.014946;0.014946
66;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;0.147116;0.147116
67;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.32398;-0.32398
68;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.52944;-0.52944
69;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.3726;-0.3726
70;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.00302;-0.00302
71;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.11503;-0.11503
72;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.38339;-0.38339
73;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;0.37638;0.37638
74;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;NA;measured with colorimeter Minolta DR200 - no UV range;O;model;32;-0.01699;-0.01699
76;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;F;AD;heavy_metals;feathers (secondary);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;56;0.38503272;0.38503272
77;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;45;-0.436273824;0.436273824
78;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;hue;UV-VIS;spectro;NA;;O;model;45;0.517623174;-0.517623174
80;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;saturation;UV;spectro;NA;;O;model;45;0.667594795;0.667594795
81;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (tail);feathers;structural;saturation;UV;spectro;NA;;O;model;45;-0.354159146;-0.354159146
82;11;Giraudeau, M;Effects of carotenoid supplementation and oxidative challenges on physiological parameters and carotenoid-based coloration in an urbanization context;2015;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;80;0.561646511;-0.561646511
83;11;Giraudeau, M;Effects of carotenoid supplementation and oxidative challenges on physiological parameters and carotenoid-based coloration in an urbanization context;2015;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;44;0.306598879;-0.306598879
85;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;28;-0.246394077;-0.246394077
86;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;29;-0.21945889;-0.21945889
87;13;Eeva, T;Experimental manipulation of dietary lead levels in great tit nestlings: limited effects on growth, physiology and survival;2014;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta, Turku; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers (yellow breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";E;model;31;-0.740093133;-0.740093133
88;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (blue chest);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;32;0.360555128;-0.360555128
89;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M;AD;heavy_metals;feathers (blue chest);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;23;0.479583152;-0.479583152
90;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (blue back);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;32;0.316227766;-0.316227766
91;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M;AD;heavy_metals;feathers (blue back);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;23;0.1;-0.1
92;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;brightness;UV-VIS;spectro;NA;;O;model;32;0.20976177;-0.20976177
93;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;M/F;AD;heavy_metals;feathers (white chest);feathers;structural;saturation;UV;spectro;NA;;O;model;55;0.244948974;0.244948974
100;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;hue;UV-VIS;spectro;NA;;O;model;32;-0.125491161;-0.125491161
101;14;White, AE;Plumage Coloration in Belted Kingfishers (Megaceryle alcyon) at a Mercury-contaminated River;2014;Cristol Lab;Web of Science;Megaceryle alcyon;belted kingfisher;"Virginia; USA";0;Megaceryle_alcyon;F;AD;heavy_metals;feathers (rufous chest);feathers;melanin-based;saturation;UV-VIS;spectro;NA;;O;model;32;0.301967696;0.301967696
102;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;raw;24;0.772300703;-0.772300703
103;15;Hasegawa, M;Urban and colorful male house finches are less aggressive;2014;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;raw;23;0.569379642;-0.569379642
110;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;tongue;bare_parts;carotenoid-based;hue;VIS;photo;NA;;O;model;13;-0.306594;0.306594
112;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;eye-ring;bare_parts;carotenoid-based;saturation;VIS;photo;NA;;O;model;14;0.579483;-0.579483
113;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;gapes;bare_parts;carotenoid-based;saturation;VIS;photo;NA;;O;model;14;0.529056;0.529056
114;17;Blévin, P;Integument colouration in relation to persistent organic pollutants and body condition in arctic breeding black-legged kittiwakes (Rissa tridactyla);2014;CNRS;Web of Science;Rissa tridactyla;black-legged kittiwakes;Kongsfjorden, Svalbard, Norway;0;Rissa_tridactyla;F;AD;persistent_organic_pollutants;tongue;bare_parts;carotenoid-based;saturation;VIS;photo;converted;"""Converted""";O;model;13;0.52915;0.52915
121;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;raw;56;-0.060515294;-0.060515294
122;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;raw;57;-0.080853367;-0.080853367
123;19;Koivula, MJ;Metal pollution indirectly increases oxidative stress in great tit (Parus major) nestlings;2010;Eeva Lab;Web of Science;Parus major;great tit;"Harjavalta; Finland";0;Parus_major;M/F;JUV;heavy_metals;feathers;feathers;carotenoid-based;saturation;VIS;photo;dietary;"""Dietary""";E;model;58;-0.073285257;-0.073285257
124;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;"Edmonton, Alberta; Canada";0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;hue;UV-VIS;spectro;NA;;O;model;49;-0.144716142;-0.144716142
125;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;"Edmonton, Alberta; Canada";0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;49;-0.059734368;-0.059734368
126;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;"Edmonton, Alberta; Canada";0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;49;0.074578451;0.074578451
127;20;Lifshitz, N;Iridescent coloration of Tree Swallows relates to environmental metal pollution;2019;St Clair Lab;Web of Science;Tachycineta bicolor;tree swallow;"Edmonton, Alberta; Canada";0;Tachycineta_bicolor;M/F;AD;heavy_metals;feathers (mantle);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;49;0.375715299;0.375715299
