es_ID;Study_no;author;title;date;research_group;source;species_latin;species_eng;geographic_location;model_species_0_wild_1_lab;tip_label;sex;age;pollution_type;measured_part_oryginal;measured_part;colour_type;HSB;UV_VIS_UV_VIS_other;method;carotenoids_type;colour_comment;study_type;raw_or_model;n;ES_physic;ES_biol
11;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.036408799;0.036408799
12;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.038226642;0.038226642
13;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.007969456;0.007969456
14;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.030894792;-0.030894792
15;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.042017232;-0.042017232
16;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.161170722;-0.161170722
17;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;200;-0.005166457;-0.005166457
18;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;200;NA;0.004966105
19;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;200;-0.130609271;-0.130609271
20;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;200;-0.009408178;-0.009408178
21;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast patch);feathers;melanin-based;other;other;spectro;NA;;O;model;198;NA;0.056363143
22;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;624;-0.36442842;-0.36442842
23;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;335;NA;-0.146365652
24;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;F;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;288;NA;0.006563426
25;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;urbanisation;feathers (breast);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;613;0.059767356;0.059767356
26;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;urbanisation;feathers (breast patch);feathers;melanin-based;other;other;spectro;NA;;O;model;589;NA;-0.048234858
27;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.088993461;-0.088993461
28;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.140675148;-0.140675148
29;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.361057186;-0.361057186
30;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.039678939;-0.039678939
31;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;-0.012408486;0.012408486
32;4;Giraudeau, M;Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context;2018;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;Arizona–Phoenix, USA;0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;1041;0.009306678;-0.009306678
33;5;Izquierdo, L;Factors associated with leucism in the common blackbird Turdus merula;2018;Estación Biológica de Do?ana;Web of Science;Turdus merula;common blackbird;Spain, France and Finland;0;Turdus_merula;M/F;AD;urbanisation;feathers;feathers;melanin-based;other;other;photo;NA;;O;raw;637;NA;-0.076373649
34;6;Beck, ML;Urbanization alters the relationship between coloration and territorial aggression, but not hormones, in song sparrows;2018;Sewall Lab;Web of Science;Melospiza melodia;song sparrow;Virginia, USA;0;Melospiza_melodia;M;AD;urbanisation;feathers (badge);feathers;melanin-based;other;other;other;NA;;O;raw;45;NA;0.330890766
35;6;Beck, ML;Urbanization alters the relationship between coloration and territorial aggression, but not hormones, in song sparrows;2018;Sewall Lab;Web of Science;Melospiza melodia;song sparrow;Virginia, USA;0;Melospiza_melodia;M;AD;urbanisation;feathers (badge);feathers;melanin-based;brightness;UV-VIS;spectro;NA;;O;raw;70;-0.178494795;0.178494795
36;7;García-Heras, MS;Pollutants and diet influence carotenoid levels and integument coloration in nestlings of an endangered raptor;2017;Mateo Lab;Web of Science;Circus maurus;black harrier;Western and Northern Cape Province, South Africa;0;Circus_maurus;M/F;JUV;persistent_organic_pollutants;cere and tarsi;bare part;carotenoid-based;other;VIS;photo;NA;;O;model;56;NA;-0.311522266
37;7;García-Heras, MS;Pollutants and diet influence carotenoid levels and integument coloration in nestlings of an endangered raptor;2017;Mateo Lab;Web of Science;Circus maurus;black harrier;Western and Northern Cape Province, South Africa;0;Circus_maurus;M/F;JUV;persistent_organic_pollutants;cere and tarsi;bare part;carotenoid-based;other;VIS;photo;NA;;O;model;56;NA;-0.296152791
38;7;García-Heras, MS;Pollutants and diet influence carotenoid levels and integument coloration in nestlings of an endangered raptor;2017;Mateo Lab;Web of Science;Circus maurus;black harrier;Western and Northern Cape Province, South Africa;0;Circus_maurus;M/F;JUV;persistent_organic_pollutants;cere and tarsi;bare part;carotenoid-based;other;VIS;photo;NA;;O;model;56;NA;-0.274259169
39;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;melanin-based;other;other;photo;dietary;"""Dietary""; difference between reflectance at 700 nm and reflectance at 450 nm, relative to reflectance at 700nm";O;model;57;NA;-0.14
40;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;melanin-based;other;other;photo;dietary;"""Dietary""; difference between reflectance at 700 nm and reflectance at 450 nm, relative to reflectance at 700nm";O;model;57;NA;-0.05
41;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;57;-0.1;-0.1
42;8;Bauerová, P;Associations of urban environmental pollution with health-related physiological traits in a free-living bird species;2017;Vinkler Lab;Web of Science;Parus major;great tit;Czech Republic;0;Parus_major;M;AD;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;57;0.11;0.11
43;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;-0.17456
44;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;-0.35166
45;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;-0.05328
46;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;0.367836
47;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;0.259282
48;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;-0.20354
49;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;0.517202
50;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;melanin-based;other;other;other;NA;;O;model;32;NA;0.030943
51;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.13346;-0.13346
52;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.43255;-0.43255
53;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.15518;-0.15518
54;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.09161;-0.09161
55;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.11256;-0.11256
56;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.14145;-0.14145
57;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;0.207586;0.207586
58;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;brightness;VIS;spectro;dietary;"""Dietary""";O;model;32;0.011454;0.011454
59;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.23521;-0.23521
60;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.27589;-0.27589
61;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.29692;-0.29692
62;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.12019;-0.12019
63;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.32047;-0.32047
64;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.38387;-0.38387
65;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;0.014946;0.014946
66;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;32;0.147116;0.147116
67;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.32398;-0.32398
68;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.52944;-0.52944
69;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.3726;-0.3726
70;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.00302;-0.00302
71;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.11503;-0.11503
72;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.38339;-0.38339
73;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;0.37638;0.37638
74;9;Giraudeau, M;Metal exposure influences the melanin and carotenoid-based colorations in great tits;2015;Senar Lab;Web of Science;Parus major;great tit;"Barcelona; Spain";0;Parus_major;M/F;AD;heavy_metals;feather (brest);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;32;-0.01699;-0.01699
75;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;F;AD;heavy_metals;feathers (primary);feathers;structural;other;UV-VIS;spectro;NA;;O;model;56;NA;0.333527749
76;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;F;AD;heavy_metals;feathers (secondary);feathers;structural;brightness;UV-VIS;spectro;NA;;O;model;56;0.38503272;0.38503272
77;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;saturation;UV-VIS;spectro;NA;;O;model;45;-0.436273824;0.436273824
78;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;hue;UV-VIS;spectro;NA;;O;model;45;0.517623174;-0.517623174
79;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;other;UV-VIS;spectro;NA;;O;model;45;NA;0.477053118
80;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (primary);feathers;structural;saturation;UV;spectro;NA;;O;model;45;0.667594795;0.667594795
81;10;McCullagh, EA;Plumage color and reproductive output of eastern bluebirds (Sialia sialis) nesting near a mercury-contaminated river;2015;Cristol Lab;Web of Science;Sialia sialis;eastern bluebird;"Virginia; USA";0;Sialia_sialis;M;AD;heavy_metals;feathers (tail);feathers;structural;saturation;UV;spectro;NA;;O;model;45;-0.354159146;-0.354159146
82;11;Giraudeau, M;Effects of carotenoid supplementation and oxidative challenges on physiological parameters and carotenoid-based coloration in an urbanization context;2015;McGraw Lab;Web of Science;Carpodacus mexicanus;house finches;"Arizona; USA";0;Carpodacus_mexicanus;M;AD;urbanisation;feathers;feathers;carotenoid-based;hue;VIS;photo;converted;"""Converted""";O;model;80;0.561646511;-0.561646511
